學生ID,初始評語,修飾後評語
STU001,成績低落，基礎薄弱,學習力強，有極大的進步空間
STU002,懶惰不交作業,學習步調獨特，需更多激勵
STU003,上課打瞌睡,作息尚需調整，具備穩定學習潛力
STU004,愛講話干擾同學,熱衷分享，具備優秀的溝通能力
STU005,沉迷手機，上課不聽,數位敏感度高，需引導良性使用科技
STU006,對老師不禮貌,思維獨立，個性鮮明
STU007,經常遲到,生活作息仍待調整，適應力強
STU008,抄襲作業，不願思考,學習策略有待改進，可透過引導發展自主學習力
STU009,愛頂嘴，不服管教,表達能力強，擅長論述自己的想法
STU010,愛開黃腔影響秩序,幽默感十足，需學習場合適宜的表達方式
STU011,喜歡指使同學,具備領導潛力，需學習團隊合作
STU012,討厭念書，學習態度消極,學習興趣待開發，對特定領域可能有潛力
STU013,成績爛還愛炫耀,自信心強，若能結合努力將更具競爭力
STU014,寫字潦草像鬼畫符,書寫風格獨特，仍可進一步精進表達力
STU015,愛頂撞師長,思維獨立，具備個人主見
STU016,動作慢吞吞，做事沒效率,細心穩重，適合精準性工作
STU017,常帶違禁品進學校,對新奇事物充滿好奇，需適當引導行為
STU018,翹課去打遊戲,時間管理能力待提升，對遊戲有高度專注力
STU019,說謊成性,善於表達，需學習誠信與責任感
STU020,成績吊車尾不思進取,學習步調獨特，尚需找到適合的學習方法
STU021,欺負弱小,具有領導力，需學習如何正向影響他人
STU022,亂丟垃圾，不愛乾淨,環保意識待提升，對環境適應力強
STU023,掃具當武器,活力充沛，需學習行為界限
STU024,霸凌同學,影響力強，需建立正向人際關係
STU025,考試作弊,應變能力高，需培養正確的學習態度
STU026,常常不帶課本,學習方式獨特，需改善準備習慣
STU027,回家不寫功課,時間管理仍待加強，學習潛力大
STU028,喜歡搗蛋，讓老師頭痛,創意豐富，需正向引導
STU029,自私不合群,獨立性強，仍可提升團隊合作能力
STU030,愛裝病逃避課堂,善於照顧自己，需培養責任感
STU031,看到考試就放棄,需要更多信心與挑戰精神
STU032,討厭所有科目,興趣待開發，需探索適合自己的學習方式
STU033,上課亂丟紙團,動手能力佳，需學習適當表達方式
STU034,與同學打架,性格直爽，需學習良好衝突處理能力
STU035,對作業馬馬虎虎,理解能力良好，仍可提升細節處理
STU036,課堂態度消極,需要更適合的學習動機與方法
STU037,翻牆離校,行動力強，需學習規範內的自由
STU038,貪玩不讀書,活潑好動，仍可學習適當的學習規劃
STU039,跟師長吵架,勇於表達自己，仍需提升溝通技巧
STU040,課堂睡覺,需改善作息，專注度可提升
STU041,拖延症嚴重,思考縝密，行動速度仍可加快
STU042,上課玩橡皮擦大戰,手部靈活，需學習專注於課堂
STU043,懶得發言,觀察力佳，仍可提升主動表達
STU044,不懂還不問,獨立思考能力強，仍可提升求知精神
STU045,對老師呼來喝去,個性直爽，需學習尊重與禮儀
STU046,把課本拿來畫畫,藝術潛力強，仍需學習學科平衡
STU047,跟同學鬧翻不願和解,個性鮮明，仍可學習人際溝通技巧
STU048,成績低落，基礎薄弱,學習力強，有極大的進步空間
STU049,懶惰不交作業,學習步調獨特，需更多激勵
STU050,上課打瞌睡,作息尚需調整，具備穩定學習潛力
STU051,愛講話干擾同學,熱衷分享，具備優秀的溝通能力
STU052,沉迷手機，上課不聽,數位敏感度高，需引導良性使用科技
STU053,對老師不禮貌,思維獨立，個性鮮明
STU054,經常遲到,生活作息仍待調整，適應力強
STU055,抄襲作業，不願思考,學習策略有待改進，可透過引導發展自主學習力
STU056,愛頂嘴，不服管教,表達能力強，擅長論述自己的想法
STU057,愛開黃腔影響秩序,幽默感十足，需學習場合適宜的表達方式
STU058,喜歡指使同學,具備領導潛力，需學習團隊合作
STU059,討厭念書，學習態度消極,學習興趣待開發，對特定領域可能有潛力
STU060,成績爛還愛炫耀,自信心強，若能結合努力將更具競爭力
STU061,寫字潦草像鬼畫符,書寫風格獨特，仍可進一步精進表達力
STU062,愛頂撞師長,思維獨立，具備個人主見
STU063,動作慢吞吞，做事沒效率,細心穩重，適合精準性工作
STU064,常帶違禁品進學校,對新奇事物充滿好奇，需適當引導行為
STU065,翹課去打遊戲,時間管理能力待提升，對遊戲有高度專注力
STU066,說謊成性,善於表達，需學習誠信與責任感
STU067,成績吊車尾不思進取,學習步調獨特，尚需找到適合的學習方法
STU068,欺負弱小,具有領導力，需學習如何正向影響他人
STU069,亂丟垃圾，不愛乾淨,環保意識待提升，對環境適應力強
STU070,掃具當武器,活力充沛，需學習行為界限
STU071,霸凌同學,影響力強，需建立正向人際關係
STU072,考試作弊,應變能力高，需培養正確的學習態度
STU073,常常不帶課本,學習方式獨特，需改善準備習慣
STU074,回家不寫功課,時間管理仍待加強，學習潛力大
STU075,喜歡搗蛋，讓老師頭痛,創意豐富，需正向引導
STU076,自私不合群,獨立性強，仍可提升團隊合作能力
STU077,愛裝病逃避課堂,善於照顧自己，需培養責任感
STU078,看到考試就放棄,需要更多信心與挑戰精神
STU079,討厭所有科目,興趣待開發，需探索適合自己的學習方式
STU080,上課亂丟紙團,動手能力佳，需學習適當表達方式
STU081,與同學打架,性格直爽，需學習良好衝突處理能力
STU082,對作業馬馬虎虎,理解能力良好，仍可提升細節處理
STU083,課堂態度消極,需要更適合的學習動機與方法
STU084,翻牆離校,行動力強，需學習規範內的自由
STU085,貪玩不讀書,活潑好動，仍可學習適當的學習規劃
STU086,跟師長吵架,勇於表達自己，仍需提升溝通技巧
STU087,課堂睡覺,需改善作息，專注度可提升
STU088,拖延症嚴重,思考縝密，行動速度仍可加快
STU089,上課玩橡皮擦大戰,手部靈活，需學習專注於課堂
STU090,懶得發言,觀察力佳，仍可提升主動表達
STU091,不懂還不問,獨立思考能力強，仍可提升求知精神
STU092,對老師呼來喝去,個性直爽，需學習尊重與禮儀
STU093,把課本拿來畫畫,藝術潛力強，仍需學習學科平衡
STU094,跟同學鬧翻不願和解,個性鮮明，仍可學習人際溝通技巧
STU095,成績低落，基礎薄弱,學習力強，有極大的進步空間
STU096,懶惰不交作業,學習步調獨特，需更多激勵
STU097,上課打瞌睡,作息尚需調整，具備穩定學習潛力
STU098,愛講話干擾同學,熱衷分享，具備優秀的溝通能力
STU099,沉迷手機，上課不聽,數位敏感度高，需引導良性使用科技
STU100,對老師不禮貌,思維獨立，個性鮮明
STU101,經常遲到,生活作息仍待調整，適應力強
STU102,抄襲作業，不願思考,學習策略有待改進，可透過引導發展自主學習力
STU103,愛頂嘴，不服管教,表達能力強，擅長論述自己的想法
STU104,愛開黃腔影響秩序,幽默感十足，需學習場合適宜的表達方式
STU105,喜歡指使同學,具備領導潛力，需學習團隊合作
STU106,討厭念書，學習態度消極,學習興趣待開發，對特定領域可能有潛力
STU107,成績爛還愛炫耀,自信心強，若能結合努力將更具競爭力
STU108,寫字潦草像鬼畫符,書寫風格獨特，仍可進一步精進表達力
STU109,愛頂撞師長,思維獨立，具備個人主見
STU110,動作慢吞吞，做事沒效率,細心穩重，適合精準性工作
STU111,常帶違禁品進學校,對新奇事物充滿好奇，需適當引導行為
STU112,翹課去打遊戲,時間管理能力待提升，對遊戲有高度專注力
STU113,說謊成性,善於表達，需學習誠信與責任感
STU114,成績吊車尾不思進取,學習步調獨特，尚需找到適合的學習方法
STU115,欺負弱小,具有領導力，需學習如何正向影響他人
STU116,亂丟垃圾，不愛乾淨,環保意識待提升，對環境適應力強
STU117,掃具當武器,活力充沛，需學習行為界限
STU118,霸凌同學,影響力強，需建立正向人際關係
STU119,考試作弊,應變能力高，需培養正確的學習態度
STU120,常常不帶課本,學習方式獨特，需改善準備習慣
STU121,回家不寫功課,時間管理仍待加強，學習潛力大
STU122,喜歡搗蛋，讓老師頭痛,創意豐富，需正向引導
STU123,自私不合群,獨立性強，仍可提升團隊合作能力
STU124,愛裝病逃避課堂,善於照顧自己，需培養責任感
STU125,看到考試就放棄,需要更多信心與挑戰精神
STU126,討厭所有科目,興趣待開發，需探索適合自己的學習方式
STU127,上課亂丟紙團,動手能力佳，需學習適當表達方式
STU128,與同學打架,性格直爽，需學習良好衝突處理能力
STU129,對作業馬馬虎虎,理解能力良好，仍可提升細節處理
STU130,課堂態度消極,需要更適合的學習動機與方法
STU131,翻牆離校,行動力強，需學習規範內的自由
STU132,貪玩不讀書,活潑好動，仍可學習適當的學習規劃
STU133,跟師長吵架,勇於表達自己，仍需提升溝通技巧
STU134,課堂睡覺,需改善作息，專注度可提升
STU135,拖延症嚴重,思考縝密，行動速度仍可加快
STU136,上課玩橡皮擦大戰,手部靈活，需學習專注於課堂
STU137,懶得發言,觀察力佳，仍可提升主動表達
STU138,不懂還不問,獨立思考能力強，仍可提升求知精神
STU139,對老師呼來喝去,個性直爽，需學習尊重與禮儀
STU140,把課本拿來畫畫,藝術潛力強，仍需學習學科平衡
STU141,跟同學鬧翻不願和解,個性鮮明，仍可學習人際溝通技巧
STU142,成績低落，基礎薄弱,學習力強，有極大的進步空間
STU143,懶惰不交作業,學習步調獨特，需更多激勵
STU144,上課打瞌睡,作息尚需調整，具備穩定學習潛力
STU145,愛講話干擾同學,熱衷分享，具備優秀的溝通能力
STU146,沉迷手機，上課不聽,數位敏感度高，需引導良性使用科技
STU147,對老師不禮貌,思維獨立，個性鮮明
STU148,經常遲到,生活作息仍待調整，適應力強
STU149,抄襲作業，不願思考,學習策略有待改進，可透過引導發展自主學習力
STU150,愛頂嘴，不服管教,表達能力強，擅長論述自己的想法
STU151,愛開黃腔影響秩序,幽默感十足，需學習場合適宜的表達方式
STU152,喜歡指使同學,具備領導潛力，需學習團隊合作
STU153,討厭念書，學習態度消極,學習興趣待開發，對特定領域可能有潛力
STU154,成績爛還愛炫耀,自信心強，若能結合努力將更具競爭力
STU155,寫字潦草像鬼畫符,書寫風格獨特，仍可進一步精進表達力
STU156,愛頂撞師長,思維獨立，具備個人主見
STU157,動作慢吞吞，做事沒效率,細心穩重，適合精準性工作
STU158,常帶違禁品進學校,對新奇事物充滿好奇，需適當引導行為
STU159,翹課去打遊戲,時間管理能力待提升，對遊戲有高度專注力
STU160,說謊成性,善於表達，需學習誠信與責任感
STU161,成績吊車尾不思進取,學習步調獨特，尚需找到適合的學習方法
STU162,欺負弱小,具有領導力，需學習如何正向影響他人
STU163,亂丟垃圾，不愛乾淨,環保意識待提升，對環境適應力強
STU164,掃具當武器,活力充沛，需學習行為界限
STU165,霸凌同學,影響力強，需建立正向人際關係
STU166,考試作弊,應變能力高，需培養正確的學習態度
STU167,常常不帶課本,學習方式獨特，需改善準備習慣
STU168,回家不寫功課,時間管理仍待加強，學習潛力大
STU169,喜歡搗蛋，讓老師頭痛,創意豐富，需正向引導
STU170,自私不合群,獨立性強，仍可提升團隊合作能力
STU171,愛裝病逃避課堂,善於照顧自己，需培養責任感
STU172,看到考試就放棄,需要更多信心與挑戰精神
STU173,討厭所有科目,興趣待開發，需探索適合自己的學習方式
STU174,上課亂丟紙團,動手能力佳，需學習適當表達方式
STU175,與同學打架,性格直爽，需學習良好衝突處理能力
STU176,對作業馬馬虎虎,理解能力良好，仍可提升細節處理
STU177,課堂態度消極,需要更適合的學習動機與方法
STU178,翻牆離校,行動力強，需學習規範內的自由
STU179,貪玩不讀書,活潑好動，仍可學習適當的學習規劃
STU180,跟師長吵架,勇於表達自己，仍需提升溝通技巧
STU181,課堂睡覺,需改善作息，專注度可提升
STU182,拖延症嚴重,思考縝密，行動速度仍可加快
STU183,上課玩橡皮擦大戰,手部靈活，需學習專注於課堂
STU184,懶得發言,觀察力佳，仍可提升主動表達
STU185,不懂還不問,獨立思考能力強，仍可提升求知精神
STU186,對老師呼來喝去,個性直爽，需學習尊重與禮儀
STU187,把課本拿來畫畫,藝術潛力強，仍需學習學科平衡
STU188,經常曠課，學習進度落後,需提升出勤率，以跟上學習進度
STU189,考試作弊，不誠實,應培養誠信價值，學習正確應試態度
STU190,作業從未繳交,需培養時間管理與責任感
STU191,上課睡覺，態度散漫,需調整作息，以保持專注學習
STU192,對老師態度不禮貌,性格直率，需學習尊重與溝通技巧
STU193,與同學發生爭執，容易動怒,情緒表達直接，需學習理性溝通
STU194,過於沉迷手機影響課業,科技應用能力強，需學習適度使用
STU195,團體活動總是缺席,具個人獨立性，仍需培養團隊合作精神
STU196,對學習缺乏興趣，成績低落,應發掘自身興趣，尋找適合學習方式
STU197,對規則視若無睹，不守紀律,思維活躍，需加強自我約束力
STU198,經常遲到影響課堂進行,需培養時間觀念，以提升學習效率
STU199,課堂上與同學聊天，不專心聽講,善於交流，仍需提升學習專注力
STU200,考試成績總是不及格,仍具進步空間，需找到適合學習方法
STU201,經常請病假，考試也缺席,健康狀況需關注，仍具穩定學習潛力
STU202,動不動就請事假,時間安排尚需調整，適應能力強
STU203,請假理由千奇百怪,創意十足，需學習責任管理
STU204,總是趕在考試前請假,應變能力佳，需培養學習規劃
STU205,遲到成習慣,生活節奏自由，仍需學習時間管理
STU206,翹體育課躲在教室,對運動仍需培養興趣，善於靜態活動
STU207,假單總是排滿整個學期,行程規劃力強，需學習平衡課業
STU208,一到大掃除日就請假,對環境敏感，仍需提升團隊合作精神
STU209,假日作業從來不寫,需要更適合的學習動機與自律能力
STU210,上學期缺課一半,學習模式特別，需找到合適的學習方式
STU211,看到週一就頭痛請假,對時間節奏有獨特感受，需調整適應
STU212,老師不點名就翹課,自主管理能力待提升，適應力強
STU213,每次有報告就請假,表達潛能大，仍需學習自信面對挑戰
STU214,愛請假卻又埋怨成績不好,需培養責任感，具備潛在學習能力
STU215,不愛運動還找藉口請病假,對靜態活動較感興趣，仍可嘗試新事物
STU216,說要補課卻從不來,規劃力佳，需學習執行力的提升
STU217,總是最後一刻才交作業,時間管理仍需改善，適應變化能力強
STU218,重要課程老是缺席,需提高專注度，擁有自主學習潛能
STU219,上課時間總是跑去保健室,對自身健康關注度高，仍需培養課堂專注力
STU220,鐘聲響了還慢慢走進教室,步調沉穩，仍需加強時間觀念
STU221,假單填到連教務處都認識,善於規劃，需學習合理安排時間
STU222,上課愛開小差,多元興趣豐富，需學習專注於課堂
STU223,課堂活動都不參與,個性內斂，仍需提升團體互動能力
STU224,老師講什麼都當耳邊風,獨立思考能力強，需學習聆聽與理解
STU225,考試前才來問問題,應變能力快，仍可提升長期規劃力
STU226,小考經常缺考,臨場應變能力強，需學習規律參與測驗
STU227,翹輔導課去買飲料,生活安排自主，仍需提升學習責任感
STU228,上課不專心還影響別人,活力充沛，需學習自律與尊重他人
STU229,遇到報告就讓組員做,擅長協作，仍可提升個人貢獻度
STU230,作業總是別人催才交,適應性強，需學習主動負責
STU231,考試沒準備還抱怨老師,應變能力快，仍需培養學習規律
STU232,說讀書很累卻打遊戲到半夜,時間分配仍需調整，專注力佳
STU233,抄筆記抄錯還怪同學,擅長記錄，仍需提升細心程度
STU234,總是要求同學借作業,善於溝通，仍需學習獨立思考
STU235,討厭考試卻喜歡抽獎,對機率與結果有興趣，仍需提升學習動機
STU236,體育課總說忘帶衣服,對細節管理仍待加強，個性靈活
STU237,寫考卷只填選擇題,決策能力佳，仍需加強全面性學習
STU238,分組討論都不發言,觀察能力強，仍需提升表達自信
STU239,老師要求記筆記卻畫漫畫,藝術表現力強，仍需學習學科平衡
STU240,交作業還用舊的重複交,環保意識高，仍需提升學習誠信
STU241,總是拖到最後一天才讀書,短期記憶力強，仍需培養穩定學習習慣
STU242,回家不讀書只追劇,對視覺資訊敏感，需學習時間規劃
STU243,小測驗從來沒及格過,學習方式仍需調整，具備潛在學習力
STU244,學校規則當耳邊風,思維靈活，仍需學習紀律與規範
STU245,所有科目都沒興趣,多元探索仍在進行，需找到學習動機
STU246,活動報名後又不參加,對決策具彈性，仍需學習承擔責任
STU247,鐘聲響後才來問問題,臨場反應快，仍需培養長遠規劃力
STU248,只記得午餐時間,對生活細節敏感，仍需提升學習專注度
STU249,交白卷還寫「下次一定」,幽默感強，仍需建立學習責任感
STU250,上課沒帶課本還借不到,應變能力強，仍需學習準備習慣